"sample","dimensionone","dimensiontwo","dimensionthree","dimensionfour"
130,"B","1","E","0"
131,"B","-1","C","1"
132,"B","1","C","1"
133,"B","1","F","-1"
134,"A","0","F","-1"
135,"A","1","C","1"
136,"A","0","C","2"
137,"B","-1","D","-2"
138,"B","1","E","0"
139,"B","1","F","1"
140,"A","-1","C","0"
141,"A","-1","F","-2"
142,"A","-1","E","2"
143,"A","-1","E","-2"
144,"A","-1","F","-2"
145,"A","-1","F","-2"
146,"B","1","F","0"
147,"A","-1","F","-2"
148,"A","-1","C","0"
149,"A","-1","F","-1"
150,"B","-1","E","2"
151,"A","-1","E","-1"
152,"B","-1","F","-2"
153,"B","0","E","1"
154,"A","1","F","-1"
155,"B","0","C","2"
156,"A","-1","F","1"
157,"A","-1","F","-1"
158,"B","1","E","2"
159,"A","0","C","0"
160,"B","0","C","2"
161,"B","1","C","2"
162,"B","1","C","1"
163,"A","0","F","-2"
164,"A","-1","E","-1"
165,"A","0","D","-1"
166,"B","1","E","-2"
167,"A","0","E","-1"
168,"A","-1","C","2"
169,"A","1","C","2"
170,"A","-1","F","-2"
171,"B","0","F","0"
172,"A","-1","C","0"
173,"B","1","F","0"
174,"A","0","D","2"
175,"A","-1","C","0"
176,"A","-1","C","2"
177,"B","1","C","-2"
178,"A","-1","F","-2"
179,"B","-1","D","-2"
180,"A","-1","E","-2"
181,"B","-1","F","-1"
182,"A","-1","D","0"
183,"B","1","E","-2"
184,"B","1","E","1"
185,"A","-1","D","-1"
186,"B","1","D","1"
187,"A","1","F","-2"
188,"A","0","E","-1"
189,"A","1","F","-2"
190,"A","1","C","1"
191,"B","1","F","-1"
192,"B","0","C","1"
193,"B","0","D","0"
194,"A","-1","F","-2"
195,"B","1","F","-2"
196,"A","-1","C","-2"
197,"A","-1","C","2"
198,"B","-1","F","-1"
199,"A","0","F","1"
200,"B","1","F","1"
201,"A","-1","F","-1"
202,"B","0","F","-2"
203,"B","0","C","2"
204,"A","-1","C","0"
205,"A","0","F","-1"
206,"B","-1","F","0"
207,"B","0","F","-2"
208,"B","1","C","1"
209,"A","-1","F","-2"
210,"A","1","F","-2"
211,"B","0","C","-1"
212,"B","1","E","0"
213,"A","1","F","0"
214,"A","-1","F","0"
215,"A","0","F","-1"
216,"A","-1","C","2"
217,"B","0","D","1"
218,"A","-1","D","0"
219,"A","0","D","-1"
220,"A","1","E","2"
221,"A","-1","E","-2"
222,"A","-1","E","-1"
223,"A","0","E","0"
224,"B","1","D","-2"
225,"A","-1","C","0"
226,"B","1","F","2"
227,"B","1","F","-1"
228,"A","-1","C","1"
229,"B","0","C","1"
230,"B","0","F","0"
231,"A","0","F","0"
232,"B","-1","D","0"
233,"B","-1","C","1"
234,"A","0","C","2"
235,"A","-1","D","-1"
236,"A","1","C","2"
237,"B","-1","E","-2"
238,"B","0","E","-2"
239,"B","1","C","1"
240,"A","0","C","0"
241,"A","0","C","2"
242,"A","-1","C","0"
243,"B","-1","F","-2"
244,"B","1","C","1"
245,"A","0","C","1"
246,"A","-1","F","0"
247,"B","0","E","-2"
248,"A","-1","D","1"
249,"A","1","E","-1"
250,"B","1","C","1"
251,"B","0","E","2"
252,"B","0","F","-1"
253,"B","0","C","2"
254,"A","-1","C","-1"
255,"A","-1","F","-2"
256,"B","0","C","1"
257,"B","0","D","0"
258,"B","1","C","1"
259,"A","-1","D","1"
260,"B","0","D","-1"
261,"B","0","E","-2"
262,"A","1","E","-2"
263,"B","0","D","-1"
264,"B","1","F","-2"
265,"A","-1","F","-1"
266,"B","1","F","-2"
267,"A","0","C","-1"
268,"A","-1","F","-1"
269,"A","0","F","-2"
270,"B","1","D","0"
271,"A","0","C","1"
272,"B","1","F","0"
273,"B","1","C","1"
274,"B","1","C","1"
275,"A","-1","C","2"
276,"B","0","C","1"
277,"B","1","E","0"
278,"B","0","E","-2"
279,"B","0","F","-1"
280,"A","-1","F","1"
281,"B","0","F","-1"
282,"A","1","E","2"
283,"A","-1","F","1"
284,"B","1","C","0"
285,"B","-1","C","-1"
286,"B","1","E","-2"
287,"A","0","C","1"
288,"A","-1","C","0"
289,"B","0","E","-1"
290,"A","0","E","2"
291,"A","-1","C","2"
292,"A","-1","F","1"
293,"B","-1","F","0"
294,"B","0","D","2"
295,"B","1","E","1"
296,"A","-1","F","0"
297,"A","-1","F","-1"
298,"B","1","E","2"
299,"A","-1","F","-1"
300,"A","-1","E","-2"
301,"B","0","F","-1"
302,"B","-1","F","-1"
303,"B","0","C","0"
304,"B","1","F","1"
305,"A","-1","E","2"
306,"B","1","E","2"
307,"A","0","D","0"
308,"B","1","F","-2"
309,"A","0","E","-2"
310,"A","0","F","2"
311,"B","0","E","-2"
312,"A","0","D","0"
313,"B","1","C","2"
314,"B","0","F","1"
315,"B","1","E","2"
316,"B","0","F","0"
317,"A","-1","E","0"
318,"B","1","F","1"
319,"B","-1","C","0"
320,"A","0","F","0"
321,"B","1","F","-2"
322,"A","-1","D","-1"
323,"B","-1","C","1"
324,"A","-1","F","-1"
325,"B","1","E","-2"
326,"B","1","F","1"
327,"A","-1","C","2"
328,"B","0","E","1"
329,"A","0","C","-1"
330,"B","1","C","2"
331,"A","-1","F","-1"
332,"A","0","C","0"
333,"B","1","D","0"
334,"B","-1","F","1"
335,"B","1","E","-1"
336,"A","-1","C","0"
337,"A","-1","E","-2"
338,"B","0","E","-1"
339,"B","1","C","-1"
340,"A","0","C","1"
341,"A","-1","C","-2"
342,"B","0","C","2"
343,"B","0","F","0"
344,"B","1","D","2"
345,"B","-1","C","-1"
346,"B","1","C","0"
347,"A","-1","E","-2"
348,"B","0","C","1"
349,"A","-1","D","0"
350,"A","1","E","2"
351,"A","-1","C","2"
352,"B","1","C","2"
353,"B","1","F","-2"
354,"A","-1","C","-2"
355,"A","-1","E","2"
356,"B","1","C","2"
357,"B","0","F","-2"
358,"A","0","E","2"
359,"B","0","E","0"
360,"A","1","F","-2"
361,"A","-1","F","-2"
362,"B","-1","F","-1"
363,"A","-1","E","0"
364,"A","-1","E","0"
365,"B","1","D","0"
366,"A","0","F","-1"
367,"A","-1","C","1"
368,"A","-1","D","0"
369,"B","1","C","-1"
370,"B","1","F","-2"
371,"A","1","D","1"
372,"B","-1","D","0"
373,"A","-1","F","-2"
374,"A","-1","F","0"
375,"B","0","F","-1"
376,"B","0","F","-2"
377,"A","-1","E","1"
378,"B","1","F","-2"
379,"B","1","C","1"
380,"A","-1","F","0"
381,"A","-1","E","-2"
382,"A","-1","D","0"
383,"B","1","D","-1"
384,"A","-1","E","-1"
385,"A","-1","C","0"
386,"A","1","D","0"
387,"A","-1","D","0"
388,"B","1","F","-1"
389,"B","1","E","-2"
390,"B","1","C","1"
391,"B","1","F","-1"
392,"B","0","F","-2"
393,"A","0","E","2"
394,"B","1","F","1"
395,"A","0","E","-1"
396,"A","-1","E","0"
397,"B","1","E","2"
398,"B","-1","C","1"
399,"B","0","E","-1"
400,"A","-1","F","-2"
401,"B","-1","F","-2"
402,"A","0","C","1"
403,"A","-1","D","0"
404,"B","1","D","0"
405,"B","0","F","-2"
406,"B","1","C","1"
407,"B","0","F","0"
408,"A","0","C","2"
409,"A","-1","D","0"
410,"A","0","D","0"
411,"A","-1","E","0"
412,"A","1","E","-1"
413,"A","-1","F","-2"
414,"B","1","E","1"
415,"B","0","D","1"
416,"A","-1","D","-1"
417,"A","1","E","-2"
418,"B","1","C","1"
419,"A","-1","F","0"
420,"A","-1","C","2"
421,"B","0","C","2"
422,"B","0","C","1"
423,"A","1","F","-2"
424,"A","1","C","0"
425,"A","1","C","2"
426,"A","0","E","-1"
427,"A","-1","D","-1"
428,"A","1","F","0"
429,"B","0","E","-2"
430,"A","0","C","2"
431,"B","1","C","-1"
432,"A","0","E","1"
433,"A","1","D","1"
434,"A","1","C","-2"
435,"A","-1","F","2"
436,"A","-1","D","1"
437,"A","-1","D","2"
438,"A","0","C","0"
439,"A","1","C","2"
440,"A","-1","D","0"
441,"A","-1","F","-2"
442,"A","-1","F","0"
443,"A","-1","D","0"
444,"B","1","E","2"
445,"A","-1","F","-2"
446,"B","0","E","1"
447,"B","-1","C","1"
448,"A","-1","F","-2"
449,"A","1","C","1"
450,"B","0","F","0"
451,"B","0","E","-2"
452,"B","-1","F","0"
453,"A","-1","C","0"
454,"B","1","E","-2"
455,"A","-1","D","0"
456,"A","-1","F","0"
457,"B","1","F","1"
458,"A","0","F","1"
459,"A","-1","E","2"
460,"B","0","C","0"
461,"B","1","C","1"
462,"A","0","D","0"
463,"A","0","F","-2"
464,"B","-1","F","-2"
465,"A","-1","C","1"
466,"A","-1","C","1"
467,"B","1","F","-2"
468,"A","1","E","1"
469,"B","-1","C","2"
470,"A","-1","D","0"
471,"B","1","F","-2"
472,"A","-1","F","-1"
473,"A","0","F","-1"
474,"B","1","C","2"
475,"B","1","D","-1"
476,"B","0","D","0"
477,"B","-1","D","0"
478,"B","1","F","-1"
479,"B","1","F","2"
480,"B","1","F","-2"
481,"A","1","C","0"
482,"B","1","C","-2"
483,"A","0","C","2"
484,"A","1","E","-2"
485,"A","1","E","-2"
486,"A","-1","F","-1"
487,"B","-1","C","2"
488,"A","0","D","0"
489,"B","1","C","-1"
490,"B","1","F","-2"
491,"A","-1","E","2"
492,"B","0","D","1"
493,"B","1","C","2"
494,"A","0","C","-1"
495,"B","0","F","-1"
496,"A","-1","D","2"
497,"A","-1","F","-1"
498,"B","1","C","-1"
499,"A","0","E","-2"
500,"A","-1","E","-2"
501,"B","0","E","0"
502,"B","0","D","0"
503,"A","-1","F","0"
504,"B","1","F","-2"
505,"B","-1","D","2"
506,"B","0","F","-1"
507,"A","1","E","1"
508,"A","-1","C","1"
509,"A","-1","F","1"
510,"B","0","C","-2"
511,"B","0","F","-1"
512,"B","1","E","-2"
513,"A","0","C","2"
514,"A","-1","C","2"
515,"B","-1","C","-1"
516,"A","0","C","-1"
517,"B","1","D","0"
518,"A","-1","D","-1"
519,"B","1","C","-2"
520,"A","-1","F","0"
521,"A","1","D","2"
522,"B","1","C","-1"
523,"A","1","F","0"
524,"B","1","E","-2"
525,"A","0","C","2"
526,"A","0","E","0"
527,"A","0","F","-2"
528,"A","0","C","0"
529,"B","0","F","-1"
530,"A","-1","F","1"
531,"A","0","C","0"
532,"B","-1","F","-1"
533,"A","1","F","0"
534,"B","0","F","-2"
535,"A","0","F","1"
536,"B","0","E","-2"
537,"B","-1","F","-2"
538,"B","0","D","-1"
539,"B","1","C","0"
540,"B","-1","E","-2"
541,"A","-1","E","-2"
542,"B","1","E","-2"
543,"A","-1","E","2"
544,"B","0","F","-1"
545,"B","0","C","2"
546,"A","-1","C","2"
547,"A","0","E","2"
548,"B","0","C","2"
549,"B","0","D","1"
550,"A","1","C","-2"
551,"B","0","F","-2"
552,"B","1","F","-1"
553,"A","0","E","-1"
554,"A","1","F","0"
555,"B","1","F","1"
556,"B","1","E","2"
557,"B","1","D","-1"
558,"A","1","C","2"
559,"B","-1","E","-1"
560,"B","0","E","-2"
561,"B","1","C","-1"
562,"A","-1","E","-2"
563,"B","1","D","-1"
564,"B","1","C","1"
565,"A","0","E","2"
566,"B","1","F","-1"
567,"B","1","F","-1"
568,"B","0","F","-1"
569,"B","0","F","-1"
570,"B","0","C","1"
571,"A","-1","E","-1"
572,"B","-1","C","2"
573,"B","-1","E","-1"
574,"A","-1","C","0"
575,"B","-1","C","2"
576,"B","0","E","2"
577,"B","-1","C","1"
578,"B","1","F","-2"
579,"A","0","C","2"
580,"B","-1","E","2"
581,"A","-1","F","2"
582,"B","1","E","2"
583,"A","0","F","-2"
584,"B","-1","E","2"
585,"A","0","E","0"
586,"A","-1","F","-1"
587,"A","-1","C","0"
588,"A","0","F","2"
589,"A","0","D","-2"
590,"B","0","D","-1"
591,"A","-1","E","2"
592,"B","1","C","-2"
593,"B","1","E","2"
594,"A","-1","E","-1"
595,"B","1","D","-1"
596,"A","0","F","-2"
597,"B","-1","C","0"
598,"A","-1","C","2"
599,"A","0","F","2"
600,"B","0","F","2"
601,"A","1","C","2"
602,"A","1","E","2"
603,"A","1","F","0"
604,"A","1","C","-1"
605,"A","0","E","-2"
606,"A","-1","E","-1"
607,"B","-1","F","0"
608,"A","0","D","0"
609,"A","-1","C","2"
610,"B","-1","F","1"
611,"B","-1","F","-2"
612,"B","1","E","1"
613,"B","0","E","-2"
614,"B","1","F","-2"
615,"B","1","F","-2"
616,"B","1","C","0"
617,"A","-1","F","-2"
618,"B","0","C","-1"
619,"A","-1","D","0"
620,"B","0","C","2"
621,"B","1","D","0"
622,"B","0","D","2"
623,"A","0","F","-2"
624,"A","-1","E","0"
625,"A","-1","D","-2"
626,"A","-1","E","-2"
627,"B","-1","C","0"
628,"A","-1","C","2"
629,"A","0","C","-1"
630,"A","-1","D","2"
631,"B","0","E","1"
632,"A","-1","F","-1"
633,"A","1","E","-1"
634,"A","-1","C","0"
635,"A","-1","E","2"
636,"A","0","C","-2"
637,"A","-1","D","-1"
638,"A","-1","F","-1"
639,"B","-1","E","-2"
640,"B","1","D","-1"
641,"B","0","F","-2"
642,"A","-1","E","1"
643,"A","-1","D","1"
644,"A","-1","D","0"
645,"B","0","C","1"
646,"B","-1","E","-1"
647,"A","1","F","1"
648,"A","-1","E","2"
649,"B","-1","F","2"
650,"B","1","C","2"
651,"A","-1","F","-2"
652,"B","0","C","1"
653,"B","1","F","0"
654,"A","1","C","-1"
655,"A","0","F","-1"
656,"B","0","D","2"
657,"B","-1","F","-2"
658,"A","-1","E","-1"
659,"B","1","D","-1"
660,"A","0","D","0"
661,"A","0","D","1"
662,"B","-1","F","-2"
663,"A","-1","E","1"
664,"A","-1","C","-1"
665,"B","1","C","-1"
666,"B","-1","D","-2"
667,"A","-1","E","-1"
668,"B","1","E","1"
669,"B","-1","E","-1"
670,"A","-1","F","-2"
671,"A","0","F","-2"
672,"B","-1","F","-2"
673,"A","0","C","2"
674,"B","-1","D","0"
675,"B","-1","C","-2"
676,"B","-1","C","2"
677,"A","1","D","1"
678,"B","0","D","1"
679,"A","-1","E","1"
680,"B","1","F","-2"
681,"B","1","C","-1"
682,"B","1","C","0"
683,"A","-1","C","2"
684,"B","0","D","-1"
685,"A","-1","C","1"
686,"A","-1","D","1"
687,"B","0","C","1"
688,"B","1","E","2"
689,"A","-1","C","2"
690,"B","-1","D","0"
691,"A","-1","C","0"
692,"B","0","C","2"
693,"A","0","F","1"
694,"B","1","F","-1"
695,"B","-1","F","2"
696,"A","0","C","1"
697,"A","-1","D","1"
698,"A","-1","C","-1"
699,"B","1","F","-2"
700,"A","-1","E","-1"
701,"B","-1","E","-2"
702,"B","-1","C","2"
703,"A","0","E","0"
704,"B","1","C","1"
705,"A","1","F","-1"
706,"B","1","F","-1"
707,"B","0","F","1"
708,"A","-1","F","-1"
709,"A","0","F","-2"
710,"A","0","E","-2"
711,"B","1","D","1"
712,"B","1","F","0"
713,"A","1","D","0"
714,"A","-1","D","1"
715,"B","0","F","-1"
716,"B","1","F","-2"
717,"A","-1","C","1"
718,"A","1","C","1"
719,"A","-1","F","-2"
720,"B","0","C","1"
721,"A","1","F","-2"
722,"A","1","C","2"
723,"B","1","C","0"
724,"B","0","E","0"
725,"A","-1","E","2"
726,"B","1","D","-1"
727,"A","-1","C","1"
728,"B","0","E","0"
729,"B","0","E","-2"
730,"A","-1","F","-2"
731,"B","-1","C","2"
732,"A","1","C","2"
733,"B","1","C","2"
734,"A","-1","D","1"
735,"A","0","C","1"
736,"B","1","E","1"
737,"A","1","E","2"
738,"A","-1","F","1"
739,"A","-1","C","2"
740,"A","-1","C","1"
741,"B","1","C","2"
742,"A","0","F","1"
743,"A","-1","C","1"
744,"A","0","E","2"
745,"B","1","E","1"
746,"B","-1","E","1"
747,"A","-1","E","2"
748,"B","0","F","-2"
749,"A","0","F","-2"
750,"B","1","C","2"
751,"A","0","F","2"
752,"A","-1","C","2"
753,"A","-1","C","-1"
754,"A","1","D","1"
755,"A","-1","D","1"
756,"B","0","F","-2"
757,"B","0","C","2"
758,"B","0","C","0"
759,"A","0","C","-1"
760,"B","1","C","0"
761,"B","1","E","-1"
762,"B","-1","F","-1"
763,"B","0","C","2"
764,"A","0","F","0"
765,"A","0","E","0"
766,"B","1","C","2"
767,"A","-1","D","1"
768,"A","-1","F","-2"
769,"A","0","C","1"
770,"B","0","F","-1"
771,"B","1","F","-2"
772,"B","-1","E","2"
773,"B","1","C","1"
774,"A","-1","E","1"
775,"B","0","C","-1"
776,"B","-1","F","0"
777,"B","1","C","1"
778,"B","1","C","1"
779,"A","1","D","1"
780,"B","0","C","-2"
781,"A","0","D","2"
782,"B","1","C","1"
783,"A","0","D","0"
784,"A","-1","D","2"
785,"B","-1","D","1"
786,"A","-1","E","-2"
787,"B","1","C","0"
788,"A","-1","E","-2"
789,"B","1","C","-2"
790,"A","-1","C","-1"
791,"B","0","F","-1"
792,"A","0","C","0"
793,"A","-1","D","0"
794,"B","1","E","-1"
795,"B","1","C","-1"
796,"A","0","C","-2"
797,"A","-1","F","1"
798,"A","0","F","0"
799,"A","0","F","1"
800,"B","0","F","-1"
801,"B","0","E","2"
802,"A","-1","C","2"
803,"A","1","D","0"
804,"A","1","C","1"
805,"A","-1","C","1"
806,"B","1","D","-1"
807,"A","0","F","-2"
808,"B","-1","F","0"
809,"B","0","F","-1"
810,"A","-1","F","1"
811,"A","-1","C","2"
812,"B","0","D","1"
813,"A","-1","E","2"
814,"A","1","E","2"
815,"B","1","F","-2"
816,"B","1","F","2"
817,"A","-1","F","-2"
818,"B","1","C","1"
819,"A","-1","D","-2"
820,"B","1","C","1"
821,"B","1","F","1"
822,"B","0","D","0"
823,"A","1","C","1"
824,"A","0","E","0"
825,"B","1","E","1"
826,"A","0","E","2"
827,"A","0","E","-2"
828,"A","0","C","0"
829,"B","-1","F","-2"
830,"A","1","D","0"
831,"B","0","C","1"
832,"A","-1","D","1"
833,"B","1","C","0"
834,"A","-1","E","1"
835,"A","1","E","-2"
836,"B","0","F","-2"
837,"A","-1","F","-2"
838,"A","-1","C","2"
839,"B","-1","F","1"
840,"A","-1","E","2"
841,"A","-1","C","0"
842,"A","1","C","0"
843,"A","0","F","0"
844,"A","0","F","-2"
845,"A","0","E","-2"
846,"B","-1","E","2"
847,"B","1","E","-1"
848,"A","-1","C","1"
849,"A","-1","F","0"
850,"B","1","E","1"
851,"B","1","D","0"
852,"B","-1","E","1"
853,"B","1","F","-2"
854,"B","1","E","-1"
855,"B","-1","D","-2"
856,"A","-1","C","1"
857,"B","0","C","1"
858,"B","1","D","-1"
859,"B","0","F","1"
860,"A","-1","F","-2"
861,"A","-1","F","0"
862,"B","1","D","-1"
863,"B","1","F","-2"
864,"A","-1","C","2"
865,"A","-1","D","1"
866,"A","0","E","1"
867,"A","0","D","-1"
868,"A","0","C","-1"
869,"A","-1","F","-2"
870,"A","0","D","-1"
871,"A","0","C","2"
872,"B","0","F","1"
873,"A","-1","E","-1"
874,"B","0","C","1"
875,"A","0","F","1"
876,"B","1","E","1"
877,"A","-1","F","-2"
878,"A","-1","D","1"
879,"A","0","E","1"
880,"B","0","F","1"
881,"A","-1","E","2"
882,"B","0","F","-2"
883,"A","-1","C","2"
884,"B","0","D","2"
885,"A","-1","C","0"
886,"A","-1","C","-2"
887,"A","-1","F","-2"
888,"B","0","C","1"
889,"B","1","C","-1"
890,"A","0","F","0"
891,"A","0","F","1"
892,"A","-1","D","-2"
893,"B","0","F","2"
894,"B","1","E","-2"
895,"A","0","C","-2"
896,"A","-1","C","0"
897,"A","0","F","-2"
898,"A","-1","E","1"
899,"A","1","F","-2"
900,"A","-1","D","1"
901,"A","0","E","1"
902,"B","1","F","-1"
903,"A","-1","E","-2"
904,"A","-1","F","0"
905,"A","-1","F","-1"
906,"A","-1","F","-2"
907,"B","1","C","2"
908,"A","-1","D","2"
909,"B","-1","E","-2"
910,"A","-1","D","-1"
911,"B","0","D","1"
912,"B","0","C","2"
913,"B","1","C","2"
914,"B","1","C","-2"
915,"A","-1","E","-2"
916,"B","1","F","-2"
917,"A","-1","F","-1"
918,"B","0","D","2"
919,"B","-1","E","-2"
920,"A","0","D","-2"
921,"A","-1","F","0"
922,"A","1","F","1"
923,"B","1","C","-1"
924,"B","-1","C","-2"
925,"B","0","F","0"
926,"B","1","F","-1"
927,"B","1","F","0"
928,"A","-1","F","-2"
929,"A","-1","C","-2"
930,"A","1","C","-2"
931,"A","-1","C","1"
932,"A","-1","C","0"
933,"A","-1","D","1"
934,"A","0","C","-1"
935,"A","-1","E","2"
936,"B","-1","D","0"
937,"B","0","C","1"
938,"B","1","C","2"
939,"A","0","D","0"
940,"B","0","E","2"
941,"B","1","E","-2"
942,"A","1","F","-2"
943,"A","1","F","-1"
944,"A","0","F","-2"
945,"A","-1","E","1"
946,"A","0","C","-2"
947,"A","-1","C","2"
948,"A","-1","C","2"
949,"A","-1","F","-2"
950,"B","0","C","-1"
951,"B","-1","F","-1"
952,"A","-1","E","-2"
953,"A","0","E","-2"
954,"B","1","F","0"
955,"B","1","D","1"
956,"A","-1","C","2"
957,"A","-1","E","-1"
958,"A","0","C","2"
959,"A","0","D","-2"
960,"A","-1","F","-1"
961,"B","0","C","2"
962,"A","-1","F","1"
963,"A","-1","F","1"
964,"B","-1","D","0"
965,"A","-1","F","0"
966,"B","0","F","-1"
967,"B","-1","F","-1"
968,"A","0","C","2"
969,"A","0","C","0"
970,"B","1","F","-2"
971,"B","-1","E","-1"
972,"B","0","C","1"
973,"A","-1","C","0"
974,"B","1","C","2"
975,"B","1","F","0"
976,"A","1","E","-1"
977,"B","0","C","2"
978,"A","0","C","1"
979,"A","0","F","-1"
980,"A","0","E","-2"
981,"A","0","F","0"
982,"A","0","D","1"
983,"B","-1","C","-1"
984,"A","1","C","-2"
985,"B","-1","F","-2"
986,"A","0","F","0"
987,"A","0","F","-2"
988,"B","-1","F","0"
989,"A","0","E","-2"
990,"B","0","C","2"
991,"A","-1","C","0"
992,"A","-1","C","1"
993,"B","0","D","-1"
994,"B","0","D","1"
995,"B","-1","C","-1"
996,"B","1","F","-2"
997,"B","1","C","2"
998,"B","0","D","2"
999,"B","1","C","-1"
1000,"B","0","F","2"
1001,"B","1","D","1"
1002,"A","0","C","-2"
1003,"B","1","F","-2"
1004,"A","-1","C","1"
1005,"B","0","F","-1"
1006,"A","1","E","-2"
1007,"B","1","E","1"
1008,"B","0","E","2"
1009,"B","0","C","1"
1010,"A","1","C","2"
1011,"A","-1","F","-1"
1012,"A","0","E","-1"
1013,"A","-1","C","1"
1014,"A","0","D","-2"
1015,"A","-1","C","-1"
1016,"A","-1","C","1"
1017,"B","1","F","0"
1018,"A","-1","E","-2"
1019,"A","1","D","-2"
1020,"A","-1","C","1"
1021,"B","-1","C","2"
1022,"B","1","E","2"
1023,"A","-1","F","-1"
1024,"B","0","E","2"
